Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length
Duct Wrap,25 mm,800x200-450x200-450x200,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,200x250-200x250,4.0,0.000 m²,0.424 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,200x250-200x250,7.0,0.000 m²,1.484 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,200x450-200x450,2.0,0.000 m²,0.613 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,200x500-200x500,1.0,0.000 m²,0.330 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,250x200-250x200,5.0,0.000 m²,1.325 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,250x250-250x250,12.0,0.000 m²,3.534 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,250x450-250x450,1.0,0.000 m²,0.412 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,300x300-300x300,2.0,0.000 m²,0.424 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,300x300-300x300,5.0,0.000 m²,2.121 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x350-350x350,10.0,0.000 m²,5.773 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x400-350x400,1.0,0.000 m²,0.619 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x650-350x650,2.0,0.000 m²,1.649 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x700-350x700,4.0,0.000 m²,3.464 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,450x200-450x200,2.0,0.000 m²,1.378 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,500x200-500x200,1.0,0.000 m²,0.825 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,650x350-650x350,3.0,0.000 m²,4.595 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,700x350-700x350,6.0,0.000 m²,10.391 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x350-400x300,4.0,2.280 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,450x250-450x200,1.0,0.519 m²,0.000 m²,Flat on Right and Left,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-250x200,3.0,5.456 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-250x250,4.0,7.376 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-300x300,1.0,1.903 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-350x350,1.0,2.017 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-350x650,1.0,2.191 m²,0.000 m²,Flat on Left,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-450x250,1.0,2.044 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-500x200,1.0,1.959 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-650x350,2.0,4.380 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-700x350,3.0,6.676 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,300x900-300x900,1.0,0.000 m²,0.848 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x800-350x800,1.0,0.000 m²,0.948 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x850-350x850,1.0,0.000 m²,0.990 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,500x850-500x850,1.0,0.000 m²,1.590 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,800x350-800x350,1.0,0.000 m²,2.168 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,900x300-900x300,2.0,0.000 m²,5.089 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,850x500-850x350,1.0,1.722 m²,0.000 m²,Flat on Right and Left,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1000x1000-1700x400,2.0,7.001 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-400x350,1.0,2.023 m²,0.000 m²,Flat on Right,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-700x350,1.0,2.228 m²,0.000 m²,Flat on Top,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-800x200,1.0,2.133 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-800x350,1.0,2.304 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-850x500,2.0,5.054 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-900x300,1.0,2.402 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1200x1200-1000x1000,4.0,17.499 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,400x1700-400x1700,4.0,0.000 m²,7.917 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1000x1000-1700x400,2.0,7.001 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,200x200-200x200,3.0,0.076 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x250-250x250,24.0,0.746 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x250-300x250,33.0,1.119 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x300-300x300,7.0,0.257 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x250-400x250,24.0,0.951 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x300-400x300,23.0,0.977 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x350-400x350,3.0,0.136 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x250-450x250,3.0,0.127 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x250-500x250,12.0,0.544 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x300-500x300,1.0,0.048 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x350-500x350,8.0,0.408 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,550x400-550x400,20.0,1.134 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,650x300-650x300,2.0,0.113 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,650x350-650x350,6.0,0.357 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,700x400-700x400,12.0,0.783 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,700x450-700x450,3.0,0.204 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,750x500-750x500,2.0,0.148 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x400-800x400,20.0,1.419 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x500-800x500,3.0,0.230 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,900x300-900x300,5.0,0.355 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x850-350x850-350x850,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x250-400x250-400x250,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,650x350-300x350-400x350,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1700x350-800x350-800x350,2.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1700x400-800x400-800x400,2.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,150x300-150x300,6.0,0.000 m²,0.318 m²,,30.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,150x550-150x550,2.0,0.000 m²,0.247 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x200-200x200,4.0,0.000 m²,0.377 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x250-200x250,4.0,0.000 m²,0.283 m²,,30.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x250-200x250,3.0,0.000 m²,0.636 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x300-200x300,1.0,0.000 m²,0.118 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x300-200x300,2.0,0.000 m²,0.471 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x400-200x400,4.0,0.000 m²,0.565 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x450-200x450,8.0,0.000 m²,1.225 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x450-200x450,1.0,0.000 m²,0.306 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x500-200x500,2.0,0.000 m²,0.660 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x200-250x200,2.0,0.000 m²,0.530 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x250-250x250,17.0,0.000 m²,5.007 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x300-250x300,6.0,0.000 m²,0.972 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x300-250x300,2.0,0.000 m²,0.648 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x450-250x450,4.0,0.000 m²,0.550 m²,,30.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x450-250x450,2.0,0.000 m²,0.412 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x450-250x450,2.0,0.000 m²,0.825 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x550-250x550,1.0,0.000 m²,0.471 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x150-300x150,1.0,0.000 m²,0.318 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x200-300x200,1.0,0.000 m²,0.177 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x250-300x250,2.0,0.000 m²,0.778 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x300-300x300,2.0,0.000 m²,0.848 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x350-300x350,2.0,0.000 m²,0.919 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x650-300x650,6.0,0.000 m²,2.015 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x200-350x200,4.0,0.000 m²,1.814 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x300-350x300,2.0,0.000 m²,0.536 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x350-350x350,10.0,0.000 m²,5.773 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x400-350x400,2.0,0.000 m²,1.237 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x650-350x650,3.0,0.000 m²,2.474 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x700-350x700,4.0,0.000 m²,3.464 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x150-400x150,1.0,0.000 m²,0.518 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x200-400x200,8.0,0.000 m²,4.524 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x250-400x250,4.0,0.000 m²,2.450 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x300-400x300,2.0,0.000 m²,0.660 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x300-400x300,2.0,0.000 m²,1.319 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x400-400x400,1.0,0.000 m²,0.754 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x500-400x500,3.0,0.000 m²,2.545 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x200-450x200,1.0,0.000 m²,0.689 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x250-450x250,2.0,0.000 m²,1.484 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x150-500x150,1.0,0.000 m²,0.766 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x250-500x250,3.0,0.000 m²,2.651 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x300-500x300,1.0,0.000 m²,0.942 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x350-500x350,3.0,0.000 m²,3.004 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x400-500x400,3.0,0.000 m²,3.181 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,550x150-550x150,1.0,0.000 m²,0.907 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,550x250-550x250,1.0,0.000 m²,1.037 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
